Expt Accession	TF-Target	Target	Tissue	Cell line	Cell type	Generic peak name	New Peak Name
GSE64557	ZEB1	Anti-ZEB1	-	-	CFPAC1 clonal cell line	GSE64557_Anti-ZEB1	GSE64557_ZEB1
GSE64713	STAT5B	STAT5B	Peripheral blood	-	Pre-activated CD8+ T cells	GSE64713_STAT5B	GSE64713_STAT5B
GSE64758	CTNNB1	beta-catenin	-	-	embryonic stem cells	GSE64758_beta-catenin	GSE64758_CTNNB1
GSE64758	LEF1	LEF-1	-	-	embryonic stem cells	GSE64758_LEF-1	GSE64758_LEF1
GSE64758	NIPBL	Nipbl	-	-	embryonic stem cells	GSE64758_Nipbl	GSE64758_NIPBL
GSE64832	UTX	UTX	-	Jurkat cells_T-ALL	-	GSE64832_UTX	GSE64832_UTX
GSE64862	cFOS	anti-cFos	-	MV-4-11	PBSC	GSE64862_anti-cFos	GSE64862_cFOS
GSE64862	RUNX1	anti-Runx1	-	MV-4-11	PBSC	GSE64862_anti-Runx1	GSE64862_anti-RUNX1
GSE64862	RUNX1	Runx1, ab23980	-	MV-4-11	PBSC	GSE64862_Runx1_ab23980	GSE64862_RUNX1
GSE64862	Stat5	anti-Stat5	-	MV-4-11	PBSC	GSE64862_anti-Stat5	GSE64862_Stat5
GSE64877	p53	p53 FL-393 antibody	-	HepG2	-	GSE64877_p53_FL-393_antibody	GSE64877_p53
GSE65066	AR	AR	-	C4-2	prostate cancer cell line	GSE65066_AR	GSE65066_AR
GSE65066	CCNT1	CCNT1	-	C4-2	prostate cancer cell line	GSE65066_CCNT1	GSE65066_CCNT1
GSE65138	BRD4	BRD4	-	K562	MLL-AF9-rearranged AML	GSE65138_BRD4	GSE65138_BRD4
GSE65138	CDK8	CDK8_b1	-	K562	MLL-AF9-rearranged AML	GSE65138_CDK8_b1	GSE65138_CDK8_b1
GSE65138	CDK8	CDK8	-	K562	MLL-AF9-rearranged AML	GSE65138_CDK8	GSE65138_CDK8
GSE65138	MED1	MED1	-	K562	MLL-AF9-rearranged AML	GSE65138_MED1	GSE65138_MED1
GSE65313	RUNX1	RUNX1	-	-	-	GSE65313_RUNX1	GSE65313_RUNX1
GSE65323	EGFR	pEGFR	-	-	-	GSE65323_pEGFR	GSE65323_EGFR
GSE65381	HOXB13	HOXB13	kidney	-	-	GSE65381_HOXB13	GSE65381_HOXB13
GSE65427	AML1	anti-AML1	-	U937 macrophage cell line	-	GSE65427_anti-AML1	GSE65427_AML1
GSE65427	ETO	anti-ETO	-	U937 macrophage cell line	-	GSE65427_anti-ETO	GSE65427_ETO
GSE65478	AR	anti-AR	primary prostate tumor	-	-	GSE65478_anti-AR	GSE65478_AR
GSE65544	Myc	anti-MYC N262	-	-	neonatal human foreskin fibroblasts (primary culture cells)	GSE65544_anti-MYC_N262	GSE65544_Myc
GSE65621	STAT1	STAT1	-	-	-	GSE65621_STAT1	GSE65621_STAT1
GSE65621	STAT3	STAT3	-	-	-	GSE65621_STAT3	GSE65621_STAT3
GSE65664	GATA3	GATA3	-	BE2C	-	GSE65664_GATA3	GSE65664_GATA3
GSE65838	DNMT3A	Dnmt3a	Foreskin	-	-	GSE65838_Dnmt3a	GSE65838_DNMT3a
GSE65838	DNMT3A	DNMT3A SantaCruz	Foreskin	-	-	GSE65838_DNMT3A_SantaCruz	GSE65838_DNMT3A_sc
GSE65838	DNMT3B	Dnmt3b	Foreskin	-	-	GSE65838_Dnmt3b	GSE65838_DNMT3b
GSE65838	DNMT3B	DNMT3B Novus	Foreskin	-	-	GSE65838_DNMT3B_Novus	GSE65838_DNMT3B_sc
GSE65847	GR	GR	-	-	-	GSE65847_GR	GSE65847_GR
GSE65937	V5	Polyclonal V5 Antibody	-	WHIM12 stably expressing ZNF165-V5	-	GSE65937_Polyclonal_V5_Antibody	GSE65937_V5
GSE66081	JUN	JUN	-	MDA-MB-231	-	GSE66081_JUN	GSE66081_JUN
GSE66081	TEF-3	TEF-3	-	MDA-MB-231	-	GSE66081_TEF-3	GSE66081_TEF-3
GSE66081	WWTR1	WWTR1	-	MDA-MB-231	-	GSE66081_WWTR1	GSE66081_WWTR1
GSE66081	YAP	YAP EP1674Y	-	MDA-MB-231	-	GSE66081_YAP_EP1674Y	GSE66081_YAP
GSE66192	CEBPb	C/EBP beta antibody	-	-	Macrophage	GSE66192_CEBP_beta_antibody	GSE66192_CEBPb
GSE66218	FOXA2	FOXA2	-	Caco2	-	GSE66218_FOXA2	GSE66218_FOXA2
GSE66297	LSD1	LSD1	-	NCI-H526	epithelial	GSE66297_LSD1	GSE66297_LSD1
GSE66298	LSD1	LSD1	SCLC patient tumor	NCI-H526	epithelial	GSE66298_LSD1	GSE66298_LSD1
GSE66448	PIAS1	anti-PIAS1	-	VCaP	-	GSE66448_anti-PIAS1	GSE66448_PIAS1
GSE66448	SUMO-2_3	anti-SUMO-2/3	-	VCaP	-	GSE66448_anti-SUMO-23	GSE66448_SUMO-2_3
GSE66543	p53	sc-126, Santa Cruz	-	MDA-MB-231 (R280K)	triple negative breast cancer cells	GSE66543_sc-126_Santa_Cruz	GSE66543_p53
GSE66594	PU.1	PU.1 polyclonal rabbit antibody	-	-	peripheral blood derived macrophage	GSE66594_PU_1_polyclonal_rabbit_antibody	GSE66594_PU.1
GSE66595	PU.1	PU.1 polyclonal rabbit antibody	-	-	peripheral blood derived macrophage	GSE66595_PU_1_polyclonal_rabbit_antibody	GSE66595_PU.1
GSE66753	TOP2beta	Anti-Top2Beta	-	MCF7	-	GSE66753_Anti-Top2Beta	GSE66753_TOP2beta
GSE66956	E2F7	E2F7	-	HeLa	-	GSE66956_E2F7	GSE66956_E2F7
GSE66956	HIF1a	HIF1α	-	HeLa	-	GSE66956_HIF1α	GSE66956_HIF1a
GSE67046	GR	anti-glucocorticoid receptor antibodies	-	Nalm6	-	GSE67046_anti-glucocorticoid_receptor_antibodies	GSE67046_GR
GSE67108	VSV	VSV	-	SW480	-	GSE67108_VSV	GSE67108_VSV
GSE67110	VSV	VSV	-	SW480	-	GSE67110_VSV	GSE67110_VSV
GSE67183	STAT3	anti-STAT3	-	-	-	GSE67183_anti-STAT3	GSE67183_STAT3
GSE67237	ARNT_HIF-1beta	Novus Biological, NB100-110	-	786-O	-	GSE67237_Novus_Biological_NB100-110	GSE67237_ARNT_HIF-1beta
GSE67237	HIF1a	HIF-1alpha Antibody	-	786-O	-	GSE67237_HIF-1alpha_Antibody	GSE67237_HIF1a
GSE67237	HIF2a	HIF-2alpha Antibody	-	786-O	-	GSE67237_HIF-2alpha_Antibody	GSE67237_HIF2a
GSE67282	SOX2	Sox2	-	iPSC derived	Glioma Stem Cell	GSE67282_Sox2	GSE67282_SOX2
GSE67295	ERa	ERa	-	MCF7	breast cancer cell line	GSE67295_ERa	GSE67295_ERa
GSE67295	p65	p65	-	MCF7	breast cancer cell line	GSE67295_p65	GSE67295_p65
GSE67314	KMT2D	KMT2D antibody	-	OCI-LY7	GCB-DLBCL	GSE67314_KMT2D_antibody	GSE67314_KMT2D
GSE67382	p300	p300	-	-	primary human neonatal keratinocytes	GSE67382_p300	GSE67382_p300
GSE67450	V5	V5	-	HEK293A	-	GSE67450_V5	GSE67450_V5
GSE67454	CTCF	CTCF	-	K562 cells	-	GSE67454_CTCF	GSE67454_CTCF
GSE67494	MLL2	anti-MLL2	tonsil	-	germinal center B cell	GSE67494_anti-MLL2	GSE67494_MLL2
GSE67555	TFAP2A	anti-TFAP2A	neonatal foreskin	-	-	GSE67555_anti-TFAP2A	GSE67555_TFAP2A
GSE67740	HNF1	HNF1	-	Caco2	-	GSE67740_HNF1	GSE67740_HNF1
GSE67783	CTCF	CTCF	-	-	Erythroid	GSE67783_CTCF	GSE67783_CTCF
GSE67783	SA1	SA1	-	-	Erythroid	GSE67783_SA1	GSE67783_SA1
GSE67867	NRF1	NRF1	-	HCC1956	-	GSE67867_NRF1	GSE67867_NRF1
GSE68170	TEAD1	TEAD1	-	MSTO	-	GSE68170_TEAD1	GSE68170_TEAD1
GSE68170	YAP	YAP	-	MSTO	-	GSE68170_YAP	GSE68170_YAP
GSE68223	BRD2	BRD2 antibody	-	SKmel147	melanoma cell line	GSE68223_BRD2_antibody	GSE68223_BRD2
GSE68223	E2F1	E2F-1 Antibody	-	SKmel147	melanoma cell line	GSE68223_E2F-1_Antibody	GSE68223_E2F1
GSE68296	TEAD1	TEAD1	-	HuCCT1	-	GSE68296_TEAD1	GSE68296_TEAD1
GSE68296	TEAD4	TEAD4	-	HuCCT1	-	GSE68296_TEAD4	GSE68296_TEAD4
GSE68296	YAP	YAP	-	HuCCT1	-	GSE68296_YAP	GSE68296_YAP
GSE68325	SMAD3	Anti-Smad3 antibody - ChIP Grade	-	BJ Fibroblasts	-	GSE68325_Anti-Smad3_antibody_-_ChIP_Grade	GSE68325_SMAD3
GSE68332	AF9	anti-AF9	-	-	Day 12 differentiated cells (NPCs)	GSE68332_anti-AF9	GSE68332_AF9
GSE68332	TET2	anti-TET2	-	-	Day 12 differentiated cells (NPCs)	GSE68332_anti-TET2	GSE68332_TET2
GSE68355	ERa	ERα Antibody	-	MCF7	ER+ breast cancer cell line	GSE68355_ERα_Antibody	GSE68355_ERa
GSE68355	p300	p300 Antibody	-	MCF7	ER+ breast cancer cell line	GSE68355_p300_Antibody	GSE68355_p300
GSE68355	PR	PR Antibody	-	MCF7	ER+ breast cancer cell line	GSE68355_PR_Antibody	GSE68355_PR
GSE68356	ERa	ERα Antibody	-	T47D	ER+ breast cancer cell line	GSE68356_ERα_Antibody	GSE68356_ERa
GSE68356	PR	PR Antibody	-	T47D	ER+ breast cancer cell line	GSE68356_PR_Antibody	GSE68356_PR
GSE68357	ERa	ERα Antibody	xenografts tumors in vivo	-	-	GSE68357_ERα_Antibody	GSE68357_ERa
GSE68357	PR	PR Antibody	xenografts tumors in vivo	-	-	GSE68357_PR_Antibody	GSE68357_PR
GSE68388	CDK9	CDK9	-	HuCCT1	-	GSE68388_CDK9	GSE68388_CDK9
GSE68388	MED1	MED1	-	HuCCT1	-	GSE68388_MED1	GSE68388_MED1
GSE68388	SMC1	SMC1	-	HuCCT1	-	GSE68388_SMC1	GSE68388_SMC1
GSE68647	DAXX	anti-DAXX	-	PC3	-	GSE68647_anti-DAXX	GSE68647_DAXX
GSE68647	DNMT1	anti-DNMT1	-	PC3	-	GSE68647_anti-DNMT1	GSE68647_DNMT1
GSE68656	DAXX	anti-DAXX	-	PC3	-	GSE68656_anti-DAXX	GSE68656_DAXX
GSE68656	DNMT1	anti-DNMT1	-	PC3	-	GSE68656_anti-DNMT1	GSE68656_DNMT1
GSE68714	WRN	anti-WRN antibody	-	HEK293	Human 293 embryonic kidney cells	GSE68714_anti-WRN_antibody	GSE68714_WRN
GSE68813	AGO2	AGO2	-	K562	-	GSE68813_AGO2	GSE68813_AGO2
GSE68858	CTCF	anti-CTCF	-	PANC1	-	GSE68858_anti-CTCF	GSE68858_CTCF
GSE68864	ATF4	ATF4, sc-200, Santa Cruz	-	-	Human Mesenchymal Stem Cells	GSE68864_ATF4_sc-200_Santa_Cruz	GSE68864_ATF4
GSE68864	CEBPb	CEBPb, sc-150, Santa Cruz	-	-	Human Mesenchymal Stem Cells	GSE68864_CEBPb_sc-150_Santa_Cruz	GSE68864_CEBPb
GSE68864	GR	GR, PA1-511A, Pierce; sc-1004, Santa Cruz	-	-	Human Mesenchymal Stem Cells	GSE68864_GR_PA1-511A_Pierce_sc-1004_Santa_Cruz	GSE68864_GR
GSE68976	CTCF	CTCF	-	-	HEK293T	GSE68976_CTCF	GSE68976_CTCF
GSE68976	GATA3	GATA3	-	-	HEK293T	GSE68976_GATA3	GSE68976_GATA3
GSE68976	RUNX1	RUNX1	-	-	HEK293T	GSE68976_RUNX1	GSE68976_RUNX1
GSE69009	FOXP1	anti-FOXP1	-	OCI-Ly10	diffuse large B cell lymphoma (DLBCL) cell line	GSE69009_anti-FOXP1	GSE69009_FOXP1
GSE69043	AR	AR	-	LNCaP	prostate tumor	GSE69043_AR	GSE69043_AR
GSE69043	FOXA1	FoxA1	-	LNCaP	prostate tumor	GSE69043_FoxA1	GSE69043_FOXA1
GSE69043	GATA2	GATA2	-	LNCaP	prostate tumor	GSE69043_GATA2	GSE69043_GATA2
GSE69100	BMAL1	hBMAL1 bethyl A302-616A	bone	-	-	GSE69100_hBMAL1_bethyl_A302-616A	GSE69100_BMAL1
GSE69100	HIF1a	hHIF1A active motif	bone	-	-	GSE69100_hHIF1A_active_motif	GSE69100_HIF1a
GSE69119	MAML3	MAML3, Bethyl Laboratories, Cat No. A300-684A	-	SK-N-SH	human neuroblastoma cells	GSE69119_MAML3_Bethyl_Laboratories_Cat_No_A300-684A	GSE69119_MAML3
GSE69119	RARalpha	RARα	-	SK-N-SH	human neuroblastoma cells	GSE69119_RARα	GSE69119_RARalpha
GSE69143	BAF155	anti-Baf155, Gift from Crabtree Lab	-	v6.5	ES cells	GSE69143_anti-Baf155_Gift_from_Crabtree_Lab	GSE69143_BAF155
GSE69143	BRD4	Bethyl, Cat #A301-985A	-	v6.5	ES cells	GSE69143_Bethyl_Cat_#A301-985A	GSE69143_BRD4
GSE69143	DDX21	anti-Ddx21, Novus Biologicals, Cat# NB100-1718	-	v6.5	ES cells	GSE69143_anti-Ddx21_Novus_Biologicals_Cat#_NB100-1718	GSE69143_DDX21
GSE69143	HEXIM1	anti-Hexim1, Abcam, Cat# ab25388	-	v6.5	ES cells	GSE69143_anti-Hexim1_Abcam_Cat#_ab25388	GSE69143_HEXIM1
GSE69143	POU5F1	anti-Pou5f1, Santa Cruz, Cat# sc-8629	-	v6.5	ES cells	GSE69143_anti-Pou5f1_Santa_Cruz_Cat#_sc-8629	GSE69143_POU5F1
GSE69147	CASP8AP2	CASP8AP2	-	U2OS	osteosarcoma	GSE69147_CASP8AP2	GSE69147_CASP8AP2
GSE69147	E2F1	E2F1	-	U2OS	osteosarcoma	GSE69147_E2F1	GSE69147_E2F1
GSE69147	HINFP	HINFP	-	U2OS	osteosarcoma	GSE69147_HINFP	GSE69147_HINFP
GSE69147	NPAT	NPAT	-	U2OS	osteosarcoma	GSE69147_NPAT	GSE69147_NPAT
GSE69156	CTNNB1	β-Catenin	-	Jurkat	-	GSE69156_β-Catenin	GSE69156_CTNNB1
GSE69156	NOTCH-IC	Notch-IC	-	Jurkat	-	GSE69156_Notch-IC	GSE69156_NOTCH-IC
GSE69183	MAML3	MAML3, Bethyl Laboratories, Cat No. A300-684A	-	SK-N-SH	human neuroblastoma cells	GSE69183_MAML3_Bethyl_Laboratories_Cat_No_A300-684A	GSE69183_MAML3
GSE69183	RARalpha	RARα	-	SK-N-SH	human neuroblastoma cells	GSE69183_RARα	GSE69183_RARalpha
GSE69303	CTCF	CTCF	-	-	-	GSE69303_CTCF	GSE69303_CTCF
GSE69322	GATA6	anti-Gata6	-	-	extraembryonic endoderm stem cell	GSE69322_anti-Gata6	GSE69322_GATA6
GSE69331	TRIM24	TRIM24	-	LNCaP-abl	-	GSE69331_TRIM24	GSE69331_TRIM24
GSE69332	TRIM24	TRIM24	-	LNCaP-abl	-	GSE69332_TRIM24	GSE69332_TRIM24
GSE69347	BPTF	BPTF	-	-	R3/R4 Erythroid cells	GSE69347_BPTF	GSE69347_BPTF
GSE69347	SET1	SET1	-	-	R3/R4 Erythroid cells	GSE69347_SET1	GSE69347_SET1
GSE69347	USF1	USF1	-	-	R3/R4 Erythroid cells	GSE69347_USF1	GSE69347_USF1
GSE69347	USF2	USF2	-	-	R3/R4 Erythroid cells	GSE69347_USF2	GSE69347_USF2
GSE69394	ASCL1	mouse anti-ASCL1 antibody	-	H889	-	GSE69394_mouse_anti-ASCL1_antibody	GSE69394_ASCL1
GSE69394	NEUROD1	goat anti-NEUROD1	-	H889	-	GSE69394_goat_anti-NEUROD1	GSE69394_NEUROD1
GSE69475	RAG1	RAG1	-	-	thymocytes	GSE69475_RAG1	GSE69475_RAG1
GSE69475	RAG2	RAG2	-	-	thymocytes	GSE69475_RAG2	GSE69475_RAG2
GSE69479	SOX2	SOX2	-	-	hESC	GSE69479_SOX2	GSE69479_SOX2
GSE69539	FOSL2	FOSL2	-	-	primary cells	GSE69539_FOSL2	GSE69539_FOSL2
GSE69539	PGR	PGR	-	-	primary cells	GSE69539_PGR	GSE69539_PGR
GSE69558	BACH2	Bach2	-	-	-	GSE69558_Bach2	GSE69558_BACH2
GSE69558	MEF2B	MEF2B	-	-	-	GSE69558_MEF2B	GSE69558_MEF2B
GSE69558	MEF2B	MEF2B_HPA004734	-	-	-	GSE69558_MEF2B_HPA004734	GSE69558_MEF2B_hpa
GSE69558	p300	p300	-	-	-	GSE69558_p300	GSE69558_p300
GSE69558	PAX5	PAX5	-	-	-	GSE69558_PAX5	GSE69558_PAX5
GSE69558	PU.1	Pu.1	-	-	-	GSE69558_Pu_1	GSE69558_PU.1
GSE69566	ARID1A	Santa Cruz -  sc-32761X	-	HepG2	hepatocellular carcinoma	GSE69566_Santa_Cruz_-_sc-32761X	GSE69566_ARID1A
GSE69566	ARID1B	Santa Cruz - sc-32762X	-	HepG2	hepatocellular carcinoma	GSE69566_Santa_Cruz_-_sc-32762X	GSE69566_ARID1B
GSE69566	ARID2	Bethyl - A302-230A	-	HepG2	hepatocellular carcinoma	GSE69566_Bethyl_-_A302-230A	GSE69566_ARID2
GSE69566	SMARCB1_SNF5	Bethyl - A301-087A	-	HepG2	hepatocellular carcinoma	GSE69566_Bethyl_-_A301-087A	GSE69566_SMARCB1_SNF5
GSE69626	HDAC2	HDAC2	-	-	human induced pluripotent stem cells (hiPSCs)	GSE69626_HDAC2	GSE69626_HDAC2
GSE69646	CTCF	CTCF	-	-	Primed	GSE69646_CTCF	GSE69646_CTCF
GSE69646	MED1_TRAP220	Med1/TRAP220	-	-	Primed	GSE69646_Med1TRAP220	GSE69646_MED1_TRAP220
GSE69646	OCT4	Oct4	-	-	Primed	GSE69646_Oct4	GSE69646_OCT4
GSE69739	V5	anti-V5 antibody	-	-	HEK293	GSE69739_anti-V5_antibody	GSE69739_V5
GSE69777	MR	Rabbit polyclonal 39N anti-MR antibody	-	-	Human Kidney GFP-hMR cells	GSE69777_Rabbit_polyclonal_39N_anti-MR_antibody	GSE69777_MR
GSE69839	CENP-A	Anti-CENP-A	-	HT1080-1b	fibrosarcoma	GSE69839_Anti-CENP-A	GSE69839_CENP-A
GSE69839	CENP-C	Anti-CENP-C	-	HT1080-1b	fibrosarcoma	GSE69839_Anti-CENP-C	GSE69839_CENP-C
GSE69839	CENP-T	Anti-CENP-T	-	HT1080-1b	fibrosarcoma	GSE69839_Anti-CENP-T	GSE69839_CENP-T
GSE69877	EP400	EP400	-	MKL-1	Merkel cell carcinoma	GSE69877_EP400	GSE69877_EP400
GSE69877	MAX	Max	-	MKL-1	Merkel cell carcinoma	GSE69877_Max	GSE69877_MAX
GSE69962	CTCF	CTCF	-	-	-	GSE69962_CTCF	GSE69962_CTCF
GSE70058	SMAR1_BANP	SMAR1/BANP	-	HCT116	Human colorectal carcinoma	GSE70058_SMAR1BANP	GSE70058_SMAR1_BANP
GSE70079	AR	AR	prostate tumor	LHSAR	-	GSE70079_AR	GSE70079_AR
GSE70079	FOXA1	FOXA1	prostate tumor	LHSAR	-	GSE70079_FOXA1	GSE70079_FOXA1
GSE70079	HOXB13	HOXB13	prostate tumor	LHSAR	-	GSE70079_HOXB13	GSE70079_HOXB13
GSE70161	AR	rabbit antiserum against AR	-	MDA-MB453 breast cancer cell line	-	GSE70161_rabbit_antiserum_against_AR	GSE70161_AR
GSE70161	PIAS1	PIAS1	-	MDA-MB453 breast cancer cell line	-	GSE70161_PIAS1	GSE70161_PIAS1
GSE70163	AR	rabbit antiserum against AR	-	MDA-MB453 breast cancer cell line	-	GSE70163_rabbit_antiserum_against_AR	GSE70163_AR
GSE70163	PIAS1	PIAS1	-	MDA-MB453 breast cancer cell line	-	GSE70163_PIAS1	GSE70163_PIAS1
GSE70275	Myc	anti-MYC	-	GEN2.2	-	GSE70275_anti-MYC	GSE70275_Myc
GSE70385	LMTK3	LMTK3 monoclonal antibody	-	MDA-MB-231	breast cancer cells	GSE70385_LMTK3_monoclonal_antibody	GSE70385_LMTK3
GSE70408	AFF4	AFF4	-	S2	Drosophila melanogaster cell line	GSE70408_AFF4	GSE70408_AFF4
GSE70408	CDK9	CDK9	-	S2	Drosophila melanogaster cell line	GSE70408_CDK9	GSE70408_CDK9
GSE70408	ELL2	ELL2	-	S2	Drosophila melanogaster cell line	GSE70408_ELL2	GSE70408_ELL2
GSE70408	LEO1	LEO1	-	S2	Drosophila melanogaster cell line	GSE70408_LEO1	GSE70408_LEO1
GSE70408	PAF1	PAF1	-	S2	Drosophila melanogaster cell line	GSE70408_PAF1	GSE70408_PAF1
GSE70624	KDM2B	anti-KDM2B	-	leukemia cell line SIL-ALL	-	GSE70624_anti-KDM2B	GSE70624_KDM2B
GSE70660	GATA1	GATA1	Adult HSPCs (A0)	-	primary adult CD34+ HSPCs (A0)	GSE70660_GATA1	GSE70660_GATA1
GSE70660	GATA2	GATA2	Adult HSPCs (A0)	-	primary adult CD34+ HSPCs (A0)	GSE70660_GATA2	GSE70660_GATA2
GSE70660	IRF2	IRF2	Adult HSPCs (A0)	-	primary adult CD34+ HSPCs (A0)	GSE70660_IRF2	GSE70660_IRF2
GSE70660	NFE2	NFE2	Adult HSPCs (A0)	-	primary adult CD34+ HSPCs (A0)	GSE70660_NFE2	GSE70660_NFE2
GSE70660	PU.1	PU1	Adult HSPCs (A0)	-	primary adult CD34+ HSPCs (A0)	GSE70660_PU1	GSE70660_PU.1
GSE70660	RUNX1	RUNX1	Adult HSPCs (A0)	-	primary adult CD34+ HSPCs (A0)	GSE70660_RUNX1	GSE70660_RUNX1
GSE70660	TAL1	TAL1	Adult HSPCs (A0)	-	primary adult CD34+ HSPCs (A0)	GSE70660_TAL1	GSE70660_TAL1
GSE70686	BMAL1	anti-Bmal1	-	THP-1	MLL-AF9 leukemia	GSE70686_anti-Bmal1	GSE70686_BMAL1
GSE70686	KAT13D_Clock	anti-KAT13D/Clock	-	THP-1	MLL-AF9 leukemia	GSE70686_anti-KAT13DClock	GSE70686_KAT13D_Clock
GSE70764	BORIS	custom mouse monoclonal BORIS	-	mRS	-	GSE70764_custom_mouse_monoclonal_BORIS	GSE70764_BORIS
GSE70764	BORIS	custom rabbit polyclonal BORIS	-	mRS	-	GSE70764_custom_rabbit_polyclonal_BORIS	GSE70764-r_BORIS
GSE70764	CTCF	custom mouse monoclonal CTCF	-	mRS	-	GSE70764_custom_mouse_monoclonal_CTCF	GSE70764_CTCF
GSE70764	CTCF	First, IP with custom mouse monoclonal BORIS Ab, next IP with  custom mouse monoclonal CTCF	-	mRS	-	GSE70764_First_IP_with_custom_mouse_monoclonal_BORIS_Ab_next_IP_with_custom_mouse_monoclonal_CTCF	GSE70764-custom_CTCF
GSE70870	BRD3	BRD3-NUT	-	293Trex_B4Nflag	293Trex (cells originating from embryonic kidney)	GSE70870_BRD3-NUT	GSE70870_BRD3
GSE70870	BRD4	BRD4 long form	-	293Trex_B4Nflag	293Trex (cells originating from embryonic kidney)	GSE70870_BRD4_long_form	GSE70870_BRD4-long
GSE70870	BRD4	BRD4-NUT	-	293Trex_B4Nflag	293Trex (cells originating from embryonic kidney)	GSE70870_BRD4-NUT	GSE70870_BRD4-nut
GSE70870	BRD4	BRD4 short and long forms	-	293Trex_B4Nflag	293Trex (cells originating from embryonic kidney)	GSE70870_BRD4_short_and_long_forms	GSE70870_BRD4
GSE70870	p300	P300	-	293Trex_B4Nflag	293Trex (cells originating from embryonic kidney)	GSE70870_P300	GSE70870_p300
GSE70920	ATRX	ATRX	-	LAN6	-	GSE70920_ATRX	GSE70920_ATRX
GSE71018	GRHL2	GRHL2	-	Ovarian cancer cell line PEO1	-	GSE71018_GRHL2	GSE71018_GRHL2
GSE71019	GRHL2	GRHL2	-	Ovarian cancer cell line PEO1	-	GSE71019_GRHL2	GSE71019_GRHL2
GSE71230	p300	rabbit anti-p300 antibody	-	-	human umbilical vein endothelial cells	GSE71230_rabbit_anti-p300_antibody	GSE71230_p300
GSE71230	PROX1	rabbit anti-Prox1	-	-	human umbilical vein endothelial cells	GSE71230_rabbit_anti-Prox1	GSE71230_PROX1
GSE71276	ER	ER	-	MCF7	-	GSE71276_ER	GSE71276_ER
GSE71298	ER	ER	-	MCF7	-	GSE71298_ER	GSE71298_ER
GSE71323	JARID1C	Bethyl, A301-034A	-	ZR-75-30	-	GSE71323_Bethyl_A301-034A	GSE71323_JARID1C
GSE71323	PRKCBP1	Bethyl, A302-090A	-	ZR-75-30	-	GSE71323_Bethyl_A302-090A	GSE71323_PRKCBP1
GSE71504	SMARCA4_BRG1	SMARCA4/BRG1	-	TTC549	liver rhabdoid tumor derived cell line	GSE71504_SMARCA4BRG1	GSE71504_SMARCA4_BRG1
GSE71504	SMARCC1_BAF155	SMARCC1/BAF155	-	TTC549	liver rhabdoid tumor derived cell line	GSE71504_SMARCC1BAF155	GSE71504_SMARCC1_BAF155
GSE71506	SMARCA4_BRG1	SMARCA4/BRG1	-	TTC549	liver rhabdoid tumor derived cell line	GSE71506_SMARCA4BRG1	GSE71506_SMARCA4_BRG1
GSE71506	SMARCC1_BAF155	SMARCC1/BAF155	-	TTC549	liver rhabdoid tumor derived cell line	GSE71506_SMARCC1BAF155	GSE71506_SMARCC1_BAF155
GSE71510	SMARCA4_BRG1	SMARCA4/BRG1	-	HCT116	colorectal carcinoma derived cell line	GSE71510_SMARCA4BRG1	GSE71510_SMARCA4_BRG1
GSE71510	SMARCC1_BAF155	SMARCC1/BAF155	-	HCT116	colorectal carcinoma derived cell line	GSE71510_SMARCC1BAF155	GSE71510_SMARCC1_BAF155
GSE71514	SMARCA4_BRG1	SMARCA4/BRG1	colon	HCT116	Primary colon epithelial cells	GSE71514_SMARCA4BRG1	GSE71514_SMARCA4_BRG1
GSE71514	SMARCC1_BAF155	SMARCC1/BAF155	colon	HCT116	Primary colon epithelial cells	GSE71514_SMARCC1BAF155	GSE71514_SMARCC1_BAF155
GSE71616	GR	GR	-	RS4;11	acute lymphoblastic leukemia cell line	GSE71616_GR	GSE71616_GR
GSE71616	PU.1	PU.1	-	RS4;11	acute lymphoblastic leukemia cell line	GSE71616_PU_1	GSE71616_PU.1
GSE71675	CBFA2T2	CBFA2T2	-	NCCIT Embryonal Carcinoma cell line	-	GSE71675_CBFA2T2	GSE71675_CBFA2T2
GSE71675	POU5F1	POU5F1	-	NCCIT Embryonal Carcinoma cell line	-	GSE71675_POU5F1	GSE71675_POU5F1
GSE71675	PRDM14	PRDM14	-	NCCIT Embryonal Carcinoma cell line	-	GSE71675_PRDM14	GSE71675_PRDM14
GSE71675	RING1B	RING1B	-	NCCIT Embryonal Carcinoma cell line	-	GSE71675_RING1B	GSE71675_RING1B
GSE71675	SUZ12	SUZ12	-	NCCIT Embryonal Carcinoma cell line	-	GSE71675_SUZ12	GSE71675_SUZ12
GSE71704	AR	Santa Cruz AR	-	-	C4-2 cell	GSE71704_Santa_Cruz_AR	GSE71704_AR
GSE71739	KDM1A	KDM1A	-	Kasumi-1	-	GSE71739_KDM1A	GSE71739_KDM1A
GSE71848	TFIIB	TFIIB	-	HeLa	-	GSE71848_TFIIB	GSE71848_TFIIB
GSE71854	KMT2D	KMT2D	-	-	patient derived xenograft cells	GSE71854_KMT2D	GSE71854_KMT2D
GSE71885	KDM3B	KDM3B	-	HCT116	Human colorectal cancer	GSE71885_KDM3B	GSE71885_KDM3B
GSE71909	BRD4	BRD4	-	LP-1	-	GSE71909_BRD4	GSE71909_BRD4
GSE71909	p300	P300	-	LP-1	-	GSE71909_P300	GSE71909_p300
